task_id,title,description,project_id,task_type,status,priority,complexity,estimated_hours,deadline_days,required_skills,dependencies,created_at,due_at,custom_features
task_000038,Test #0038 for project_005 [developers],"Generated test task with high priority, complexity 4.54, and required skills: ci_cd, python, typescript.",project_005,test,todo,high,4.54,9.984,2,"[""ci_cd"", ""python"", ""typescript""]",[],2026-06-25T12:37:20.133874+00:00,2026-06-27T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000039,Bugfix #0039 for project_002 [developers],"Generated bugfix task with medium priority, complexity 9.195, and required skills: debugging, missing_domain_context, postgresql, testing.",project_002,bugfix,done,medium,9.195,2.311,16,"[""debugging"", ""missing_domain_context"", ""postgresql"", ""testing""]",[],2026-06-12T12:37:20.133874+00:00,2026-06-28T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000040,Infra #0040 for project_002 [developers],"Generated infra task with medium priority, complexity 5.677, and required skills: api_design, sql, testing.",project_002,infra,failed,medium,5.677,62.176,13,"[""api_design"", ""sql"", ""testing""]",[],2026-07-02T12:37:20.133874+00:00,2026-07-15T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000041,Review #0041 for project_003 [developers],"Generated review task with critical priority, complexity 1.489, and required skills: data_processing.",project_003,review,in_progress,critical,1.489,36.476,9,"[""data_processing""]",[],2026-07-04T12:37:20.133874+00:00,2026-07-13T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000042,Documentation #0042 for project_002 [developers],"Generated documentation task with medium priority, complexity 4.092, and required skills: javascript.",project_002,documentation,in_progress,medium,4.092,12.094,23,"[""javascript""]","[""task_000001"", ""task_000036""]",2026-06-14T12:37:20.133874+00:00,2026-07-07T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000043,Feature #0043 for project_004 [developers],"Generated feature task with high priority, complexity 2.706, and required skills: debugging.",project_004,feature,todo,high,2.706,6.592,14,"[""debugging""]",[],2026-06-21T12:37:20.133874+00:00,2026-07-05T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000044,Research #0044 for project_004 [developers],"Generated research task with medium priority, complexity 5.879, and required skills: react, sql.",project_004,research,todo,medium,5.879,79.992,33,"[""react"", ""sql""]",[],2026-06-24T12:37:20.133874+00:00,2026-07-27T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000045,Refactor #0045 for project_001 [developers],"Generated refactor task with low priority, complexity 1.539, and required skills: data_processing, fastapi, sql.",project_001,refactor,done,low,1.539,39.697,31,"[""data_processing"", ""fastapi"", ""sql""]",[],2026-07-08T12:37:20.133874+00:00,2026-08-08T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000046,Documentation #0046 for project_003 [developers],"Generated documentation task with critical priority, complexity 7.034, and required skills: postgresql.",project_003,documentation,in_progress,critical,7.034,13.073,28,"[""postgresql""]","[""task_000024"", ""task_000039"", ""task_000042""]",2026-06-28T12:37:20.133874+00:00,2026-07-26T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000047,Refactor #0047 for project_005 [developers],"Generated refactor task with high priority, complexity 5.012, and required skills: debugging, docker, postgresql, react.",project_005,refactor,todo,high,5.012,39.104,8,"[""debugging"", ""docker"", ""postgresql"", ""react""]",[],2026-06-21T12:37:20.133874+00:00,2026-06-29T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000048,Test #0048 for project_002 [developers],"Generated test task with critical priority, complexity 3.789, and required skills: api_design, python, react, sql.",project_002,test,todo,critical,3.789,76.391,31,"[""api_design"", ""python"", ""react"", ""sql""]",[],2026-06-30T12:37:20.133874+00:00,2026-07-31T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000049,Test #0049 for project_005 [developers],"Generated test task with high priority, complexity 5.688, and required skills: python, react, testing, typescript.",project_005,test,blocked,high,5.688,13.704,6,"[""python"", ""react"", ""testing"", ""typescript""]",[],2026-06-22T12:37:20.133874+00:00,2026-06-28T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000050,Refactor #0050 for project_002 [developers],"Generated refactor task with medium priority, complexity 9.757, and required skills: debugging.",project_002,refactor,in_progress,medium,9.757,28.089,26,"[""debugging""]",[],2026-06-13T12:37:20.133874+00:00,2026-07-09T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000051,Bugfix #0051 for project_001 [developers],"Generated bugfix task with low priority, complexity 3.002, and required skills: javascript, ml, react, testing.",project_001,bugfix,todo,low,3.002,38.183,7,"[""javascript"", ""ml"", ""react"", ""testing""]",[],2026-07-04T12:37:20.133874+00:00,2026-07-11T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000052,Review #0052 for project_005 [developers],"Generated review task with medium priority, complexity 1.795, and required skills: data_processing, docker, fastapi, testing.",project_005,review,todo,medium,1.795,24.965,45,"[""data_processing"", ""docker"", ""fastapi"", ""testing""]",[],2026-07-03T12:37:20.133874+00:00,2026-08-17T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000053,Bugfix #0053 for project_002 [developers],"Generated bugfix task with medium priority, complexity 2.64, and required skills: ci_cd, postgresql, python.",project_002,bugfix,failed,medium,2.64,49.076,24,"[""ci_cd"", ""postgresql"", ""python""]",[],2026-06-19T12:37:20.133874+00:00,2026-07-13T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000054,Feature #0054 for project_004 [developers],"Generated feature task with low priority, complexity 7.018, and required skills: ci_cd.",project_004,feature,done,low,7.018,11.575,3,"[""ci_cd""]","[""task_000005"", ""task_000019""]",2026-06-22T12:37:20.133874+00:00,2026-06-25T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000055,Feature #0055 for project_004 [developers],"Generated feature task with medium priority, complexity 2.634, and required skills: ci_cd, debugging, docker, python.",project_004,feature,done,medium,2.634,8.073,35,"[""ci_cd"", ""debugging"", ""docker"", ""python""]",[],2026-06-14T12:37:20.133874+00:00,2026-07-19T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000056,Review #0056 for project_005 [developers],"Generated review task with medium priority, complexity 3.581, and required skills: docker, python, react, typescript.",project_005,review,todo,medium,3.581,44.821,23,"[""docker"", ""python"", ""react"", ""typescript""]",[],2026-06-09T12:37:20.133874+00:00,2026-07-02T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000057,Documentation #0057 for project_005 [developers],"Generated documentation task with high priority, complexity 6.432, and required skills: docker, postgresql, react.",project_005,documentation,todo,high,6.432,69.667,5,"[""docker"", ""postgresql"", ""react""]",[],2026-06-25T12:37:20.133874+00:00,2026-06-30T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000058,Bugfix #0058 for project_004 [developers],"Generated bugfix task with low priority, complexity 4.798, and required skills: debugging, fastapi, missing_domain_context.",project_004,bugfix,in_progress,low,4.798,76.341,38,"[""debugging"", ""fastapi"", ""missing_domain_context""]",[],2026-06-11T12:37:20.133874+00:00,2026-07-19T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000059,Documentation #0059 for project_005 [developers],"Generated documentation task with low priority, complexity 7.384, and required skills: sql, testing.",project_005,documentation,in_progress,low,7.384,3.432,34,"[""sql"", ""testing""]",[],2026-06-12T12:37:20.133874+00:00,2026-07-16T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000060,Review #0060 for project_002 [developers],"Generated review task with medium priority, complexity 9.272, and required skills: api_design, ci_cd, javascript.",project_002,review,done,medium,9.272,16.819,30,"[""api_design"", ""ci_cd"", ""javascript""]",[],2026-07-01T12:37:20.133874+00:00,2026-07-31T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000061,Refactor #0061 for project_001 [developers],"Generated refactor task with critical priority, complexity 5.203, and required skills: ci_cd, fastapi, postgresql.",project_001,refactor,todo,critical,5.203,3.594,30,"[""ci_cd"", ""fastapi"", ""postgresql""]",[],2026-06-25T12:37:20.133874+00:00,2026-07-25T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000062,Infra #0062 for project_003 [developers],"Generated infra task with medium priority, complexity 8.861, and required skills: sql, typescript.",project_003,infra,done,medium,8.861,51.489,29,"[""sql"", ""typescript""]","[""task_000018""]",2026-06-30T12:37:20.133874+00:00,2026-07-29T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000063,Refactor #0063 for project_004 [developers],"Generated refactor task with medium priority, complexity 1.229, and required skills: python.",project_004,refactor,todo,medium,1.229,59.555,9,"[""python""]",[],2026-06-18T12:37:20.133874+00:00,2026-06-27T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000064,Feature #0064 for project_005 [developers],"Generated feature task with low priority, complexity 2.051, and required skills: fastapi.",project_005,feature,todo,low,2.051,56.866,34,"[""fastapi""]","[""task_000040""]",2026-06-30T12:37:20.133874+00:00,2026-08-03T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000065,Feature #0065 for project_002 [developers],"Generated feature task with low priority, complexity 5.361, and required skills: ml.",project_002,feature,todo,low,5.361,60.874,41,"[""ml""]",[],2026-06-24T12:37:20.133874+00:00,2026-08-04T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000066,Research #0066 for project_001 [developers],"Generated research task with low priority, complexity 2.087, and required skills: ambiguous_requirement, docker, javascript, python, react.",project_001,research,todo,low,2.087,66.082,31,"[""ambiguous_requirement"", ""docker"", ""javascript"", ""python"", ""react""]",[],2026-06-14T12:37:20.133874+00:00,2026-07-15T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000067,Infra #0067 for project_001 [developers],"Generated infra task with medium priority, complexity 1.77, and required skills: python, react.",project_001,infra,done,medium,1.77,36.451,39,"[""python"", ""react""]",[],2026-06-15T12:37:20.133874+00:00,2026-07-24T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000068,Research #0068 for project_005 [developers],"Generated research task with low priority, complexity 9.546, and required skills: docker, postgresql, python, react.",project_005,research,todo,low,9.546,55.837,3,"[""docker"", ""postgresql"", ""python"", ""react""]",[],2026-06-11T12:37:20.133874+00:00,2026-06-14T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000069,Research #0069 for project_002 [developers],"Generated research task with medium priority, complexity 2.629, and required skills: ml, typescript.",project_002,research,blocked,medium,2.629,18.68,15,"[""ml"", ""typescript""]",[],2026-06-08T12:37:20.133874+00:00,2026-06-23T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000070,Refactor #0070 for project_004 [developers],"Generated refactor task with high priority, complexity 3.507, and required skills: debugging, ml.",project_004,refactor,todo,high,3.507,43.376,7,"[""debugging"", ""ml""]",[],2026-06-21T12:37:20.133874+00:00,2026-06-28T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000071,Test #0071 for project_003 [developers],"Generated test task with medium priority, complexity 6.713, and required skills: fastapi, python, react.",project_003,test,blocked,medium,6.713,46.695,36,"[""fastapi"", ""python"", ""react""]","[""task_000022""]",2026-06-30T12:37:20.133874+00:00,2026-08-05T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000072,Bugfix #0072 for project_005 [developers],"Generated bugfix task with low priority, complexity 9.649, and required skills: ml.",project_005,bugfix,done,low,9.649,79.86,20,"[""ml""]",[],2026-06-27T12:37:20.133874+00:00,2026-07-17T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000073,Review #0073 for project_003 [developers],"Generated review task with low priority, complexity 5.776, and required skills: debugging, typescript.",project_003,review,todo,low,5.776,44.179,28,"[""debugging"", ""typescript""]",[],2026-06-09T12:37:20.133874+00:00,2026-07-07T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000074,Infra #0074 for project_003 [developers],"Generated infra task with low priority, complexity 1.992, and required skills: api_design, fastapi, python.",project_003,infra,todo,low,1.992,35.326,14,"[""api_design"", ""fastapi"", ""python""]",[],2026-06-23T12:37:20.133874+00:00,2026-07-07T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000075,Bugfix #0075 for project_002 [developers],"Generated bugfix task with low priority, complexity 1.555, and required skills: testing.",project_002,bugfix,todo,low,1.555,75.454,16,"[""testing""]",[],2026-06-15T12:37:20.133874+00:00,2026-07-01T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000076,Documentation #0076 for project_001 [developers],"Generated documentation task with low priority, complexity 5.998, and required skills: postgresql, python, react, sql.",project_001,documentation,todo,low,5.998,48.56,38,"[""postgresql"", ""python"", ""react"", ""sql""]",[],2026-06-18T12:37:20.133874+00:00,2026-07-26T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000077,Documentation #0077 for project_001 [developers],"Generated documentation task with critical priority, complexity 9.343, and required skills: ci_cd, data_processing, javascript, ml.",project_001,documentation,done,critical,9.343,70.762,11,"[""ci_cd"", ""data_processing"", ""javascript"", ""ml""]",[],2026-06-22T12:37:20.133874+00:00,2026-07-03T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000078,Infra #0078 for project_002 [developers],"Generated infra task with low priority, complexity 8.498, and required skills: data_processing, python, testing.",project_002,infra,done,low,8.498,71.864,14,"[""data_processing"", ""python"", ""testing""]",[],2026-06-21T12:37:20.133874+00:00,2026-07-05T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000079,Infra #0079 for project_002 [developers],"Generated infra task with high priority, complexity 5.227, and required skills: api_design, sql.",project_002,infra,blocked,high,5.227,72.372,24,"[""api_design"", ""sql""]",[],2026-06-10T12:37:20.133874+00:00,2026-07-04T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000080,Feature #0080 for project_005 [developers],"Generated feature task with medium priority, complexity 3.306, and required skills: data_processing, fastapi, sql.",project_005,feature,done,medium,3.306,74.652,29,"[""data_processing"", ""fastapi"", ""sql""]",[],2026-06-28T12:37:20.133874+00:00,2026-07-27T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000081,Refactor #0081 for project_005 [developers],"Generated refactor task with high priority, complexity 3.074, and required skills: debugging, testing.",project_005,refactor,todo,high,3.074,17.393,18,"[""debugging"", ""testing""]",[],2026-06-25T12:37:20.133874+00:00,2026-07-13T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000082,Infra #0082 for project_003 [developers],"Generated infra task with medium priority, complexity 7.069, and required skills: javascript, sql.",project_003,infra,blocked,medium,7.069,6.598,22,"[""javascript"", ""sql""]",[],2026-07-04T12:37:20.133874+00:00,2026-07-26T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000083,Test #0083 for project_002 [developers],"Generated test task with high priority, complexity 8.911, and required skills: api_design, external_vendor_dependency, javascript, sql.",project_002,test,todo,high,8.911,32.684,41,"[""api_design"", ""external_vendor_dependency"", ""javascript"", ""sql""]",[],2026-06-16T12:37:20.133874+00:00,2026-07-27T12:37:20.133874+00:00,"{""requires_mentor"": true}"
task_000084,Infra #0084 for project_005 [developers],"Generated infra task with medium priority, complexity 3.721, and required skills: ci_cd, data_processing, missing_domain_context.",project_005,infra,review,medium,3.721,23.999,4,"[""ci_cd"", ""data_processing"", ""missing_domain_context""]",[],2026-07-02T12:37:20.133874+00:00,2026-07-06T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000085,Documentation #0085 for project_003 [developers],"Generated documentation task with high priority, complexity 6.071, and required skills: javascript.",project_003,documentation,done,high,6.071,66.455,44,"[""javascript""]",[],2026-06-26T12:37:20.133874+00:00,2026-08-09T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000086,Bugfix #0086 for project_004 [developers],"Generated bugfix task with medium priority, complexity 5.075, and required skills: fastapi, javascript.",project_004,bugfix,in_progress,medium,5.075,4.85,19,"[""fastapi"", ""javascript""]",[],2026-06-14T12:37:20.133874+00:00,2026-07-03T12:37:20.133874+00:00,"{""requires_mentor"": false}"
task_000087,Feature #0087 for project_001 [developers],"Generated feature task with high priority, complexity 2.971, and required skills: debugging, postgresql, sql.",project_001,feature,todo,high,2.971,2.873,13,"[""debugging"", ""postgresql"", ""sql""]","[""task_000009"", ""task_000019"", ""task_000048""]",2026-06-10T12:37:20.133874+00:00,2026-06-23T12:37:20.133874+00:00,"{""requires_mentor"": true}"
