task_id,plane_work_item_id,plane_issue_id,plane_project_id,project_key,title,description,task_type,required_stack,required_skills,complexity,priority,business_criticality,deadline_days,estimated_hours,dependencies_count,is_growth_task,source,created_at,updated_at
TASK-0011,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Собрать датасет пар задача-сотрудник — модуля авторизации,"Построить training_pairs.parquet с task features, employee features, pair features и success_label. Контекст задачи: notifications.",ml_pipeline,"[""Python"", ""PyTorch""]","{""Data Analysis"": 3, ""Machine Learning"": 3, ""PyTorch"": 3, ""Python"": 4, ""data_pipelines"": 3}",4,medium,3,25,38,6,False,synthetic,2023-08-27T00:00:00,2023-09-06T00:00:00
TASK-0012,,,50d969c6-ae4c-4afe-a8aa-33cdb478f787,TOOLS,Настроить Docker Compose для dev-окружения — экспорта данных,Подготовить локальный запуск сервисов COMPASS AI рядом с self-hosted Plane. Контекст задачи: dashboard.,devops_task,"[""Docker""]","{""CI/CD"": 3, ""Docker"": 4, ""Monitoring"": 3, ""Security"": 2}",3,medium,2,6,29,4,False,synthetic,2023-05-31T00:00:00,2023-06-15T00:00:00
TASK-0013,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Исправить падение API при пустом описании задачи — модуля авторизации,Добавить корректную обработку задач без description и покрыть сценарий тестом. Контекст задачи: notifications.,bugfix,[],"{""API Design"": 2, ""Monitoring"": 2, ""Testing"": 3}",3,medium,2,19,21,7,False,synthetic,2025-06-28T00:00:00,2025-07-07T00:00:00
TASK-0014,,,50d969c6-ae4c-4afe-a8aa-33cdb478f787,TOOLS,Подготовить demo сценарии проекта — модуля безопасности,"Описать fast_delivery, balanced_workload, growth и risk_minimization сценарии. Контекст задачи: Plane integration.",documentation_task,[],"{""communication"": 2, ""documentation"": 4, ""ownership"": 2}",2,high,4,5,20,0,True,synthetic,2023-08-10T00:00:00,2023-08-30T00:00:00
TASK-0015,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Проверить отсутствие секретов в логах — пайплайна рекомендаций,"Убедиться, что API tokens и .env значения не печатаются в stdout и reports. Контекст задачи: notifications.",security_task,[],"{""Security"": 4, ""System Design"": 3, ""Testing"": 3, ""risk_management"": 3}",5,high,5,17,38,7,False,synthetic,2025-06-25T00:00:00,2025-07-03T00:00:00
TASK-0016,,,33832fc6-ade4-4ac0-a937-9ba70b0859d8,FRONT,Реализовать фильтр задач на dashboard — модуля командной загрузки,"Добавить фильтры по проекту, статусу, приоритету и recommended assignee. Контекст задачи: team workload.",frontend_feature,"[""React"", ""TypeScript"", ""Next.js"", ""HTML/CSS""]","{""HTML/CSS"": 3, ""Next.js"": 2, ""React"": 3, ""Testing"": 2, ""TypeScript"": 3}",4,high,5,21,17,3,False,synthetic,2025-08-06T00:00:00,2025-08-11T00:00:00
TASK-0017,,,cdbeb78a-e8d3-4277-ad9b-13d6b8e44dab,DATA,Собрать датасет пар задача-сотрудник — экспорта данных,"Построить training_pairs.parquet с task features, employee features, pair features и success_label. Контекст задачи: model metrics.",ml_pipeline,"[""Python"", ""PyTorch""]","{""Data Analysis"": 3, ""Machine Learning"": 3, ""PyTorch"": 3, ""Python"": 4, ""data_pipelines"": 3}",3,high,4,57,33,2,False,synthetic,2024-01-01T00:00:00,2024-01-21T00:00:00
TASK-0018,,,50d969c6-ae4c-4afe-a8aa-33cdb478f787,TOOLS,Подготовить demo сценарии проекта — пайплайна рекомендаций,"Описать fast_delivery, balanced_workload, growth и risk_minimization сценарии. Контекст задачи: fairness analysis.",documentation_task,[],"{""communication"": 2, ""documentation"": 4, ""ownership"": 2}",2,medium,1,17,15,8,True,synthetic,2025-01-12T00:00:00,2025-01-16T00:00:00
TASK-0019,,,33832fc6-ade4-4ac0-a937-9ba70b0859d8,FRONT,Добавить text embeddings для описаний задач — системы отчётов,Использовать multilingual sentence-transformer для векторизации title и description. Контекст задачи: dashboard.,ml_pipeline,"[""Python"", ""PyTorch""]","{""Data Analysis"": 3, ""Machine Learning"": 3, ""PyTorch"": 3, ""Python"": 4, ""data_pipelines"": 3}",3,medium,3,37,38,7,False,synthetic,2026-01-16T00:00:00,2026-02-05T00:00:00
TASK-0020,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Добавить фильтрацию задач по статусу — системы уведомлений,"Расширить API задач фильтрами по статусу, приоритету и исполнителю. Контекст задачи: permissions.",backend_feature,"[""Python"", ""FastAPI"", ""PostgreSQL""]","{""API Design"": 3, ""FastAPI"": 3, ""PostgreSQL"": 2, ""Python"": 3, ""Testing"": 2}",2,low,3,47,16,8,True,synthetic,2025-05-23T00:00:00,2025-06-07T00:00:00
TASK-0021,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Исправить падение API при пустом описании задачи — аналитического dashboard,Добавить корректную обработку задач без description и покрыть сценарий тестом. Контекст задачи: auth.,bugfix,[],"{""API Design"": 2, ""Monitoring"": 2, ""Testing"": 3}",1,urgent,3,54,17,1,True,synthetic,2025-04-28T00:00:00,2025-05-12T00:00:00
TASK-0022,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Провести ревизию auto-assignment — пайплайна рекомендаций,"Убедиться, что автоматическое назначение выключено по умолчанию и требует threshold. Контекст задачи: billing.",security_task,[],"{""Security"": 4, ""System Design"": 3, ""Testing"": 3, ""risk_management"": 3}",5,urgent,5,16,29,1,True,synthetic,2023-07-23T00:00:00,2023-08-01T00:00:00
TASK-0023,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Добавить integration test PlaneClient — пайплайна рекомендаций,"Проверить чтение проектов и задач, если задан PLANE_API_KEY. Контекст задачи: audit logs.",testing_task,[],"{""API Design"": 2, ""Testing"": 4, ""documentation"": 2}",1,medium,1,41,25,6,False,synthetic,2025-04-12T00:00:00,2025-05-03T00:00:00
TASK-0024,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Добавить проверку Plane API token — пайплайна рекомендаций,Сделать понятную диагностику ошибок авторизации и недоступности Plane API. Контекст задачи: permissions.,api_integration,"[""FastAPI""]","{""API Design"": 3, ""FastAPI"": 3, ""Testing"": 2, ""documentation"": 2}",3,high,3,34,35,0,False,synthetic,2026-03-30T00:00:00,2026-04-04T00:00:00
TASK-0025,,,33832fc6-ade4-4ac0-a937-9ba70b0859d8,FRONT,Добавить страницу командной загрузки — аналитического dashboard,"Сделать UI-страницу с таблицей сотрудников, текущей загрузкой и индикаторами риска. Контекст задачи: Plane integration.",frontend_feature,"[""React"", ""TypeScript"", ""Next.js"", ""HTML/CSS""]","{""HTML/CSS"": 3, ""Next.js"": 2, ""React"": 3, ""Testing"": 2, ""TypeScript"": 3}",4,low,4,45,41,6,False,synthetic,2024-04-18T00:00:00,2024-05-03T00:00:00
TASK-0026,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Реализовать JWT-авторизацию — модуля командной загрузки,"Добавить login endpoint, refresh token flow, logout сценарий и защиту приватных endpoint-ов. Контекст задачи: team workload.",backend_feature,"[""Python"", ""FastAPI"", ""PostgreSQL""]","{""API Design"": 3, ""FastAPI"": 3, ""PostgreSQL"": 2, ""Python"": 3, ""Testing"": 2}",4,none,5,5,46,0,False,synthetic,2023-05-12T00:00:00,2023-05-18T00:00:00
TASK-0027,,,33832fc6-ade4-4ac0-a937-9ba70b0859d8,FRONT,Добавить карточку рекомендации исполнителя — ML-пайплайна,"Показать top-3 кандидатов, score и краткое объяснение на странице задачи. Контекст задачи: dashboard.",frontend_feature,"[""React"", ""TypeScript"", ""Next.js"", ""HTML/CSS""]","{""HTML/CSS"": 3, ""Next.js"": 2, ""React"": 3, ""Testing"": 2, ""TypeScript"": 3}",3,urgent,5,57,31,6,False,synthetic,2026-01-17T00:00:00,2026-01-17T00:00:00
TASK-0028,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Описать локальный запуск проекта — экспорта данных,"Добавить документацию по запуску Plane, COMPASS API, dashboard и генерации данных. Контекст задачи: auth.",documentation_task,[],"{""communication"": 2, ""documentation"": 4, ""ownership"": 2}",2,medium,2,2,7,1,True,synthetic,2025-03-25T00:00:00,2025-04-03T00:00:00
TASK-0029,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Подключить чтение work items из Plane — модуля авторизации,Получить список задач проекта через Plane API и привести ответ к внутреннему формату COMPASS AI. Контекст задачи: team workload.,api_integration,"[""FastAPI""]","{""API Design"": 3, ""FastAPI"": 3, ""Testing"": 2, ""documentation"": 2}",2,medium,2,22,26,1,False,synthetic,2025-10-12T00:00:00,2025-10-23T00:00:00
TASK-0030,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Починить ошибку при смене assignee — ML-пайплайна,"Исправить сценарий, при котором задача может потерять исполнителя после обновления статуса. Контекст задачи: Plane integration.",bugfix,[],"{""API Design"": 2, ""Monitoring"": 2, ""Testing"": 3}",3,low,4,47,13,6,False,synthetic,2023-07-28T00:00:00,2023-08-07T00:00:00
TASK-0031,,,33832fc6-ade4-4ac0-a937-9ba70b0859d8,FRONT,Добавить карточку рекомендации исполнителя — модуля безопасности,"Показать top-3 кандидатов, score и краткое объяснение на странице задачи. Контекст задачи: dashboard.",frontend_feature,"[""React"", ""TypeScript"", ""Next.js"", ""HTML/CSS""]","{""HTML/CSS"": 3, ""Next.js"": 2, ""React"": 3, ""Testing"": 2, ""TypeScript"": 3}",3,high,5,17,41,6,True,synthetic,2025-04-04T00:00:00,2025-04-05T00:00:00
TASK-0032,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Реализовать JWT-авторизацию — пайплайна рекомендаций,"Добавить login endpoint, refresh token flow, logout сценарий и защиту приватных endpoint-ов. Контекст задачи: reporting.",backend_feature,"[""Python"", ""FastAPI"", ""PostgreSQL""]","{""API Design"": 3, ""FastAPI"": 3, ""PostgreSQL"": 2, ""Python"": 3, ""Testing"": 2}",4,high,5,10,30,6,False,synthetic,2026-04-01T00:00:00,2026-04-01T00:00:00
TASK-0033,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Проверить отсутствие секретов в логах — модуля командной загрузки,"Убедиться, что API tokens и .env значения не печатаются в stdout и reports. Контекст задачи: dashboard.",security_task,[],"{""Security"": 4, ""System Design"": 3, ""Testing"": 3, ""risk_management"": 3}",3,high,5,33,43,1,False,synthetic,2025-07-15T00:00:00,2025-07-25T00:00:00
TASK-0034,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Проверить отсутствие секретов в логах — аналитического dashboard,"Убедиться, что API tokens и .env значения не печатаются в stdout и reports. Контекст задачи: auth.",security_task,[],"{""Security"": 4, ""System Design"": 3, ""Testing"": 3, ""risk_management"": 3}",4,low,5,56,36,2,False,synthetic,2025-12-14T00:00:00,2026-01-03T00:00:00
TASK-0035,,,33832fc6-ade4-4ac0-a937-9ba70b0859d8,FRONT,Реализовать фильтр задач на dashboard — системы уведомлений,"Добавить фильтры по проекту, статусу, приоритету и recommended assignee. Контекст задачи: ML pipeline.",frontend_feature,"[""React"", ""TypeScript"", ""Next.js"", ""HTML/CSS""]","{""HTML/CSS"": 3, ""Next.js"": 2, ""React"": 3, ""Testing"": 2, ""TypeScript"": 3}",4,high,5,38,21,5,False,synthetic,2024-07-10T00:00:00,2024-07-11T00:00:00
TASK-0036,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Добавить безопасную обработку API token — экспорта данных,"Проверить, что Plane API token берётся из .env и не сохраняется в git. Контекст задачи: ML pipeline.",security_task,[],"{""Security"": 4, ""System Design"": 3, ""Testing"": 3, ""risk_management"": 3}",5,urgent,5,21,55,0,False,synthetic,2023-11-04T00:00:00,2023-11-11T00:00:00
TASK-0037,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Добавить безопасную обработку API token — модуля безопасности,"Проверить, что Plane API token берётся из .env и не сохраняется в git. Контекст задачи: billing.",security_task,[],"{""Security"": 4, ""System Design"": 3, ""Testing"": 3, ""risk_management"": 3}",5,medium,4,25,36,2,False,synthetic,2024-05-10T00:00:00,2024-05-16T00:00:00
TASK-0038,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Добавить integration test PlaneClient — модуля командной загрузки,"Проверить чтение проектов и задач, если задан PLANE_API_KEY. Контекст задачи: recommendation engine.",testing_task,[],"{""API Design"": 2, ""Testing"": 4, ""documentation"": 2}",1,medium,1,57,11,1,True,synthetic,2025-09-14T00:00:00,2025-09-24T00:00:00
TASK-0039,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Реализовать JWT-авторизацию — модуля командной загрузки,"Добавить login endpoint, refresh token flow, logout сценарий и защиту приватных endpoint-ов. Контекст задачи: reporting.",backend_feature,"[""Python"", ""FastAPI"", ""PostgreSQL""]","{""API Design"": 3, ""FastAPI"": 3, ""PostgreSQL"": 2, ""Python"": 3, ""Testing"": 2}",4,none,3,48,41,0,False,synthetic,2023-03-07T00:00:00,2023-03-22T00:00:00
TASK-0040,,,33832fc6-ade4-4ac0-a937-9ba70b0859d8,FRONT,Добавить страницу командной загрузки — интеграции с Plane,"Сделать UI-страницу с таблицей сотрудников, текущей загрузкой и индикаторами риска. Контекст задачи: audit logs.",frontend_feature,"[""React"", ""TypeScript"", ""Next.js"", ""HTML/CSS""]","{""HTML/CSS"": 3, ""Next.js"": 2, ""React"": 3, ""Testing"": 2, ""TypeScript"": 3}",4,urgent,5,28,34,8,False,synthetic,2024-05-24T00:00:00,2024-05-27T00:00:00
TASK-0041,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Добавить endpoint для статистики команды — пайплайна рекомендаций,"Реализовать backend endpoint, который возвращает агрегированную статистику по задачам и загрузке команды. Контекст задачи: billing.",backend_feature,"[""Python"", ""FastAPI"", ""PostgreSQL""]","{""API Design"": 3, ""FastAPI"": 3, ""PostgreSQL"": 2, ""Python"": 3, ""Testing"": 2}",4,urgent,5,40,27,5,False,synthetic,2025-02-06T00:00:00,2025-02-08T00:00:00
TASK-0042,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Добавить таблицу истории назначений — модуля командной загрузки,"Подготовить структуру для хранения task_id, employee_id, outcome и quality metrics. Контекст задачи: data export.",database_migration,"[""PostgreSQL""]","{""PostgreSQL"": 4, ""System Design"": 3, ""Testing"": 3, ""risk_management"": 3}",3,medium,4,40,46,6,False,synthetic,2024-08-24T00:00:00,2024-08-30T00:00:00
TASK-0043,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Починить некорректный расчёт дедлайна — экспорта данных,Исправить расчёт deadline_days для задач без target date и задач с просроченным сроком. Контекст задачи: model metrics.,bugfix,[],"{""API Design"": 2, ""Monitoring"": 2, ""Testing"": 3}",2,low,3,11,10,5,False,synthetic,2023-12-16T00:00:00,2023-12-31T00:00:00
TASK-0044,,,cdbeb78a-e8d3-4277-ad9b-13d6b8e44dab,DATA,Добавить график распределения workload — аналитического dashboard,Построить график текущей загрузки команды и выделить перегруженных сотрудников. Контекст задачи: auth.,analytics_report,"[""PostgreSQL"", ""Python""]","{""Data Analysis"": 3, ""PostgreSQL"": 2, ""Python"": 2, ""documentation"": 2}",2,high,3,1,45,8,True,synthetic,2025-06-29T00:00:00,2025-07-07T00:00:00
TASK-0045,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Подключить чтение work items из Plane — ML-пайплайна,Получить список задач проекта через Plane API и привести ответ к внутреннему формату COMPASS AI. Контекст задачи: reporting.,api_integration,"[""FastAPI""]","{""API Design"": 3, ""FastAPI"": 3, ""Testing"": 2, ""documentation"": 2}",4,high,5,47,27,4,True,synthetic,2025-01-05T00:00:00,2025-01-25T00:00:00
TASK-0046,,,50d969c6-ae4c-4afe-a8aa-33cdb478f787,TOOLS,Добавить healthcheck для COMPASS API — модуля безопасности,Настроить endpoint и проверку доступности backend-сервиса. Контекст задачи: Plane integration.,devops_task,"[""Docker""]","{""CI/CD"": 3, ""Docker"": 4, ""Monitoring"": 3, ""Security"": 2}",5,none,4,44,28,0,False,synthetic,2026-03-09T00:00:00,2026-03-18T00:00:00
TASK-0047,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Проверить отсутствие секретов в логах — модуля авторизации,"Убедиться, что API tokens и .env значения не печатаются в stdout и reports. Контекст задачи: dashboard.",security_task,[],"{""Security"": 4, ""System Design"": 3, ""Testing"": 3, ""risk_management"": 3}",4,medium,5,10,27,8,True,synthetic,2024-03-20T00:00:00,2024-03-22T00:00:00
TASK-0048,,,50d969c6-ae4c-4afe-a8aa-33cdb478f787,TOOLS,Добавить healthcheck для COMPASS API — аналитического dashboard,Настроить endpoint и проверку доступности backend-сервиса. Контекст задачи: billing.,devops_task,"[""Docker""]","{""CI/CD"": 3, ""Docker"": 4, ""Monitoring"": 3, ""Security"": 2}",4,urgent,5,60,39,7,False,synthetic,2025-01-28T00:00:00,2025-01-29T00:00:00
TASK-0049,,,33832fc6-ade4-4ac0-a937-9ba70b0859d8,FRONT,Добавить страницу командной загрузки — системы отчётов,"Сделать UI-страницу с таблицей сотрудников, текущей загрузкой и индикаторами риска. Контекст задачи: model metrics.",frontend_feature,"[""React"", ""TypeScript"", ""Next.js"", ""HTML/CSS""]","{""HTML/CSS"": 3, ""Next.js"": 2, ""React"": 3, ""Testing"": 2, ""TypeScript"": 3}",4,urgent,5,15,32,8,True,synthetic,2024-06-24T00:00:00,2024-07-04T00:00:00
TASK-0050,,,33832fc6-ade4-4ac0-a937-9ba70b0859d8,FRONT,Реализовать фильтр задач на dashboard — модуля авторизации,"Добавить фильтры по проекту, статусу, приоритету и recommended assignee. Контекст задачи: permissions.",frontend_feature,"[""React"", ""TypeScript"", ""Next.js"", ""HTML/CSS""]","{""HTML/CSS"": 3, ""Next.js"": 2, ""React"": 3, ""Testing"": 2, ""TypeScript"": 3}",4,medium,3,18,27,6,False,synthetic,2023-03-10T00:00:00,2023-03-19T00:00:00
TASK-0051,,,33832fc6-ade4-4ac0-a937-9ba70b0859d8,FRONT,Оптимизировать SQL-запросы в отчётах — экспорта данных,Переписать тяжёлые запросы аналитики и добавить индексы для ускорения отчётов. Контекст задачи: billing.,database_migration,"[""PostgreSQL""]","{""PostgreSQL"": 4, ""System Design"": 3, ""Testing"": 3, ""risk_management"": 3}",3,medium,3,28,51,5,True,synthetic,2025-03-08T00:00:00,2025-03-14T00:00:00
TASK-0052,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Упростить слой интеграции с Plane — аналитического dashboard,"Разделить API-клиент, mapping и форматирование комментариев по отдельным модулям. Контекст задачи: model metrics.",refactoring,[],"{""System Design"": 3, ""Testing"": 3, ""code_review"": 3, ""documentation"": 2}",4,high,4,30,41,5,False,synthetic,2023-10-17T00:00:00,2023-10-24T00:00:00
TASK-0053,,,cdbeb78a-e8d3-4277-ad9b-13d6b8e44dab,DATA,Собрать датасет пар задача-сотрудник — системы отчётов,"Построить training_pairs.parquet с task features, employee features, pair features и success_label. Контекст задачи: auth.",ml_pipeline,"[""Python"", ""PyTorch""]","{""Data Analysis"": 3, ""Machine Learning"": 3, ""PyTorch"": 3, ""Python"": 4, ""data_pipelines"": 3}",5,medium,5,42,26,3,True,synthetic,2025-08-05T00:00:00,2025-08-06T00:00:00
TASK-0054,,,cdbeb78a-e8d3-4277-ad9b-13d6b8e44dab,DATA,Добавить экспорт аналитики в CSV — модуля командной загрузки,"Сформировать CSV-отчёт по задачам, рекомендациям, загрузке и рискам. Контекст задачи: auth.",analytics_report,"[""PostgreSQL"", ""Python""]","{""Data Analysis"": 3, ""PostgreSQL"": 2, ""Python"": 2, ""documentation"": 2}",2,high,3,21,30,0,False,synthetic,2025-10-23T00:00:00,2025-11-01T00:00:00
TASK-0055,,,33832fc6-ade4-4ac0-a937-9ba70b0859d8,FRONT,Добавить карточку рекомендации исполнителя — системы уведомлений,"Показать top-3 кандидатов, score и краткое объяснение на странице задачи. Контекст задачи: recommendation engine.",frontend_feature,"[""React"", ""TypeScript"", ""Next.js"", ""HTML/CSS""]","{""HTML/CSS"": 3, ""Next.js"": 2, ""React"": 3, ""Testing"": 2, ""TypeScript"": 3}",4,urgent,5,53,23,5,False,synthetic,2025-01-12T00:00:00,2025-01-27T00:00:00
TASK-0056,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Добавить карточку рекомендации исполнителя — системы уведомлений,"Показать top-3 кандидатов, score и краткое объяснение на странице задачи. Контекст задачи: auth.",frontend_feature,"[""React"", ""TypeScript"", ""Next.js"", ""HTML/CSS""]","{""HTML/CSS"": 3, ""Next.js"": 2, ""React"": 3, ""Testing"": 2, ""TypeScript"": 3}",4,medium,5,23,35,6,False,synthetic,2024-08-26T00:00:00,2024-08-27T00:00:00
TASK-0057,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Провести ревизию auto-assignment — модуля авторизации,"Убедиться, что автоматическое назначение выключено по умолчанию и требует threshold. Контекст задачи: permissions.",security_task,[],"{""Security"": 4, ""System Design"": 3, ""Testing"": 3, ""risk_management"": 3}",5,medium,4,7,50,8,True,synthetic,2024-03-26T00:00:00,2024-04-01T00:00:00
TASK-0058,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Добавить запись комментария COMPASS AI в Plane — аналитического dashboard,Подготовить интеграционный метод для безопасной записи Markdown-комментария к задаче. Контекст задачи: fairness analysis.,api_integration,"[""FastAPI""]","{""API Design"": 3, ""FastAPI"": 3, ""Testing"": 2, ""documentation"": 2}",4,high,4,58,22,2,True,synthetic,2025-12-10T00:00:00,2025-12-31T00:00:00
TASK-0059,,,50d969c6-ae4c-4afe-a8aa-33cdb478f787,TOOLS,Подготовить demo сценарии проекта — модуля командной загрузки,"Описать fast_delivery, balanced_workload, growth и risk_minimization сценарии. Контекст задачи: model metrics.",documentation_task,[],"{""communication"": 2, ""documentation"": 4, ""ownership"": 2}",1,low,1,46,6,1,True,synthetic,2024-07-26T00:00:00,2024-08-14T00:00:00
TASK-0060,,,50d969c6-ae4c-4afe-a8aa-33cdb478f787,TOOLS,Настроить Docker Compose для dev-окружения — аналитического dashboard,Подготовить локальный запуск сервисов COMPASS AI рядом с self-hosted Plane. Контекст задачи: audit logs.,devops_task,"[""Docker""]","{""CI/CD"": 3, ""Docker"": 4, ""Monitoring"": 3, ""Security"": 2}",5,high,5,37,36,6,True,synthetic,2025-02-16T00:00:00,2025-02-20T00:00:00
TASK-0061,,,e608e7ad-f4fe-401d-b0f3-5570e82f08ee,BACK,Добавить тесты генерации сотрудников — интеграции с Plane,"Проверить уникальность employee_id, диапазоны workload и корректные уровни skills. Контекст задачи: Plane integration.",testing_task,[],"{""API Design"": 2, ""Testing"": 4, ""documentation"": 2}",1,low,1,56,12,1,False,synthetic,2023-02-25T00:00:00,2023-02-26T00:00:00
